player_id,Position,x_star,x_star_sd,Player_Name,Position_Code,Team,points,goals,assists,gamesPlayed,Points_per_60,x_star_rank,pts60_rank,rank_divergence
8482178,defensemen,0.5113349,0.24816234,Ian Moore,D,ANA,12,4,8,67,0.8141112618724559,60,128,-68
8481719,defensemen,0.50526977,0.28281102,Max Crozier,D,TBL,10,1,9,35,1.0747872816838333,61,78,-17
8486169,defensemen,0.48750907,0.29670468,Jake Livanavage,D,PIT,0,0,0,1,0.0,62,216,-154
8482122,defensemen,0.47205007,0.35824826,Brock Faber,D,MIN,51,15,36,80,1.5128543177323666,63,30,33
8484169,defensemen,0.4592541,0.3217557,Drew Fortescue,D,NYR,2,0,2,9,0.8978675645342312,64,107,-43
8476917,defensemen,0.45608324,0.3229938,Adam Pelech,D,NYI,16,4,12,82,0.5606057656745761,65,178,-113
8477498,defensemen,0.44346085,0.3254843,Darnell Nurse,D,EDM,24,7,17,82,0.8322737255808578,66,125,-59
8481593,defensemen,0.4222643,0.37400186,Jayden Struble,D,MTL,12,2,10,59,0.8962097794743066,67,108,-41
8484321,defensemen,0.4101098,0.29994148,Nikolas Matinpalo,D,OTT,5,0,5,50,0.37460978147762747,68,200,-132
8480950,defensemen,0.3960268,0.29041007,Ilya Lyubushkin,D,NSH,9,1,8,53,0.6510338175899693,69,160,-91
8476312,defensemen,0.38011193,0.26872814,Josh Manson,D,COL,31,5,26,79,1.3428310150647351,70,48,22
8478882,defensemen,0.3760326,0.27153555,Vladislav Gavrikov,D,NYR,35,14,21,82,1.0790627569197042,71,75,-4
8480035,defensemen,0.3264146,0.25327536,Henri Jokiharju,D,BOS,15,2,13,41,1.2401818933443571,72,64,8
8482166,defensemen,0.30327368,0.28439483,Shakir Mukhamadullin,D,SJS,12,5,7,50,0.8396501457725948,73,122,-49
8480860,defensemen,0.29114747,0.27462718,Kevin Bahl,D,CGY,18,4,14,76,0.647404387963074,74,162,-88
8486166,defensemen,0.26453638,0.255236,Viking Gustafsson Nyberg,D,MIN,0,0,0,2,0.0,75,216,-141
8484304,defensemen,0.257665,0.26785672,Uvis Balinskis,D,FLA,15,5,10,54,1.0183299389002036,76,90,-14
8476462,defensemen,0.23016202,0.28359896,Dougie Hamilton,D,NJD,39,12,27,77,1.4112822162357765,77,39,38
8484220,defensemen,0.22271262,0.37214428,David Reinbacher,D,MTL,1,0,1,2,2.2813688212927756,78,12,66
8478859,defensemen,0.21906354,0.2583034,Niko Mikkola,D,FLA,11,3,8,68,0.4769475357710652,79,189,-110
8478500,defensemen,0.20450777,0.24796192,Ivan Provorov,D,CBJ,31,9,22,82,0.9140198856656128,80,104,-24
8481219,defensemen,0.20361257,0.30677968,Jonathan Aspirot,D,BOS,13,3,10,61,0.7664466680860125,81,136,-55
8482126,defensemen,0.19631293,0.31188124,Emil Andrae,D,TOR,13,2,11,61,0.8486870738430292,82,118,-36
8480834,defensemen,0.19451661,0.27263474,Ty Emberson,D,EDM,12,2,10,72,0.6557377049180327,83,159,-76
8479425,defensemen,0.15525213,0.36297712,Filip Hronek,D,VAN,49,8,41,82,1.4341463414634148,84,36,48
8483490,defensemen,0.14717278,0.28458714,Pavel Mintyukov,D,ANA,22,8,14,73,0.9739062000442684,85,94,-9
8482733,defensemen,0.13249305,0.32155153,Logan Mailloux,D,STL,13,5,8,67,0.694341414201359,86,151,-65
8476441,defensemen,0.11352761,0.27078107,Joel Edmundson,D,LAK,23,2,21,82,0.9121554630180448,87,105,-18
8471724,defensemen,0.11157203,0.27330282,Kris Letang,D,PIT,34,3,31,74,1.2626366824840107,88,62,26
8479998,defensemen,0.09575841,0.2661067,Mikey Anderson,D,LAK,20,4,16,80,0.728744939271255,89,143,-54
8476853,defensemen,0.07728653,0.29321852,Morgan Rielly,D,TOR,36,11,25,78,1.3103615627274934,90,55,35
8481527,defensemen,0.05848494,0.33513686,Kaedan Korczak,D,PIT,16,3,13,78,0.7992007992007992,91,130,-39
8480434,defensemen,0.056170627,0.27222735,Sean Durzi,D,UTA,27,5,22,60,1.4173228346456692,92,38,54
8482861,defensemen,0.04825982,0.25567856,Vincent Iorio,D,NYR,3,0,3,27,0.423728813559322,93,195,-102
8479982,defensemen,0.016228735,0.27222455,Conor Timmins,D,BUF,8,0,8,39,0.673778775968557,94,157,-63
8474716,defensemen,0.0047277957,0.25904587,Jared Spurgeon,D,MIN,22,6,16,79,0.8453049288108097,95,119,-24
8482929,defensemen,-0.015138045,0.26127765,Emil Lilleberg,D,TBL,12,4,8,50,0.8363988383349468,96,124,-28
8479398,defensemen,-0.021571904,0.28265148,Samuel Girard,D,PIT,19,3,16,60,1.0410958904109588,97,85,12
8483485,defensemen,-0.02599828,0.25654253,Denton Mateychuk,D,CBJ,31,13,18,75,1.2927888792354474,98,57,41
8477950,defensemen,-0.03146611,0.26908326,Tony DeAngelo,D,NYI,35,5,30,76,1.4441591784338896,99,35,64
8475764,defensemen,-0.053067356,0.28583887,Cam Fowler,D,STL,30,4,26,82,1.0411645618432468,100,84,16
8475690,defensemen,-0.06238565,0.31846035,Chris Tanev,D,TOR,2,0,2,11,0.6071850227694383,101,173,-72
8483686,defensemen,-0.06243509,0.2701159,Adam Engstrom,D,MTL,1,0,1,15,0.3065134099616858,102,203,-101
