player_id,Position,x_star,x_star_sd,Player_Name,Position_Code,Team,points,goals,assists,gamesPlayed,Points_per_60,x_star_rank,pts60_rank,rank_divergence
8483525,forwards,1.0745347,0.2624504,Danila Yurov,R,MIN,27,12,15,73,1.6854517079937574,106,227,-121
8478864,forwards,1.0658214,0.25341043,Kirill Kaprizov,L,MIN,89,45,44,78,3.0608735526768314,107,41,66
8483489,forwards,1.0567639,0.29800275,Fraser Minten,C,BOS,35,17,18,82,1.6451663445970648,108,238,-130
8482116,forwards,1.0336984,0.27218616,Tim Stützle,C,OTT,83,34,49,80,3.0341186027619824,109,43,66
8478474,forwards,1.029905,0.32324263,Lawson Crouse,L,UTA,44,24,20,81,1.9247594050743657,110,185,-75
8482667,forwards,1.0234009,0.27851614,William Eklund,L,OTT,53,15,38,78,2.1997786386275595,111,140,-29
8483752,forwards,1.0220515,0.27252308,Dominic James,C,TBL,15,7,8,43,1.7155928326343879,112,224,-112
8480023,forwards,1.0117834,0.26255012,Robert Thomas,C,STL,64,25,39,64,3.15512708150745,113,29,84
8484142,forwards,1.0100917,0.2514186,Denver Barkey,C,PHI,17,5,12,43,1.781296387926769,114,209,-95
8477989,forwards,1.0096877,0.29488224,Christian Dvorak,C,PHI,51,18,33,80,2.0769230769230766,115,154,-39
8479675,forwards,0.99171984,0.27013516,Trevor Moore,L,LAK,32,13,19,69,1.646514021095961,116,237,-121
8484471,forwards,0.9915142,0.27172163,Emmitt Finnie,C,DET,30,13,17,82,1.4162077104642015,117,279,-162
8471675,forwards,0.9837593,0.251335,Sidney Crosby,C,PIT,74,29,45,68,3.371469069555533,118,23,95
8476461,forwards,0.9821843,0.32775283,Sean Couturier,C,PHI,36,12,24,78,1.65491878639289,119,232,-113
8476456,forwards,0.9795404,0.26868117,Jonathan Huberdeau,L,CGY,25,10,15,50,1.6544117647058825,120,233,-113
8476454,forwards,0.9449265,0.24823667,Ryan Nugent-Hopkins,C,EDM,56,20,36,72,2.460456942003515,121,103,18
8478010,forwards,0.9332745,0.26121932,Brayden Point,C,TBL,50,18,32,63,2.602133749674733,122,84,38
8479407,forwards,0.93064517,0.2991495,Jesper Bratt,L,NJD,71,22,49,82,2.768271021964216,123,64,59
8476468,forwards,0.91940004,0.2753732,J.T. Miller,C,NYR,53,17,36,68,2.3208290760472923,124,125,-1
8484999,forwards,0.91787326,0.29821754,Ilya Protas,L,WSH,4,1,3,4,3.773584905660377,125,7,118
